ShopeeProductID,Sku,ItemID,ItemSku,VariationID,VariationSku,ModifiedUser,ModifiedDate
1,KZ39CSB-S1,2826673793,KZ39CSB-S1,0,,bot,28/5/2020 14:16
2,Yamaha-FGX800C,2878739853,Yamaha-FGX800C,0,,bot,28/5/2020 14:16
3,Yamaha-FGX800C-S1,2878721991,Yamaha-FGX800C-S1,0,,bot,28/5/2020 14:16
4,Yamaha-FS800,2878769443,Yamaha-FS800,0,,bot,28/5/2020 14:16
5,Yamaha-FX310AII-N-INT,2873480817,Yamaha-FX310AII-N-INT,0,,bot,28/5/2020 14:16
6,Kazuki-SOV41ESB-S2,6215654152,Kazuki-SOV41ESB-S2,0,,bot,28/5/2020 14:16
7,Kazuki-SOV41EBLS-S1,5715653509,Kazuki-SOV41EBLS-S1,0,,bot,28/5/2020 14:16
8,Kazuki-SOV41EBLS,6715654468,Kazuki-SOV41EBLS,0,,bot,28/5/2020 14:16
9,Kazuki-SOV41ESB,5515654565,Kazuki-SOV41ESB,0,,bot,28/5/2020 14:16
10,Kazuki-SOV41EBK-S3,6015654799,Kazuki-SOV41EBK-S3,0,,bot,28/5/2020 14:16
11,Kazuki-SOV41EBLS-S2,6815654013,Kazuki-SOV41EBLS-S2,0,,bot,28/5/2020 14:16
12,Kazuki-SOV41EBK-S1,6315653390,Kazuki-SOV41EBK-S1,0,,bot,28/5/2020 14:16
13,Kazuki-SOV41EBLS-S3,4715655151,Kazuki-SOV41EBLS-S3,0,,bot,28/5/2020 14:16
14,Kazuki-SOV41EBK,4315654397,Kazuki-SOV41EBK,0,,bot,28/5/2020 14:16
15,Kazuki-SOV41ESB-S1,5015653625,Kazuki-SOV41ESB-S1,0,,bot,28/5/2020 14:16
16,Kazuki-SOV41EBK-S2,5615653809,Kazuki-SOV41EBK-S2,0,,bot,28/5/2020 14:16
17,Kazuki-SOV41EN-S2,5815654257,Kazuki-SOV41EN-S2,0,,bot,28/5/2020 14:16
18,Kazuki-SOV41EN-S3,6215655357,Kazuki-SOV41EN-S3,0,,bot,28/5/2020 14:16
19,Kazuki-SOV41ESB-S3,5915655278,Kazuki-SOV41ESB-S3,0,,bot,28/5/2020 14:16
20,Kazuki-SOV41EN,3615750241,Kazuki-SOV41EN,0,,bot,28/5/2020 14:16
21,Kazuki-SOV41EN-S1,4115653790,Kazuki-SOV41EN-S1,0,,bot,28/5/2020 14:16
22,Midiplus-Easy-Piano,2913628017,Midiplus-Easy-Piano,0,,bot,28/5/2020 14:16
23,Midiplus-Easy-Piano-SP2,2899788535,Midiplus-Easy-Piano-SP2,0,,bot,28/5/2020 14:16
24,Easy-Piano-S1,2788738544,Easy-Piano-S1,0,,bot,28/5/2020 14:16
25,Easy Piano,1378742932,Easy Piano,0,,bot,28/5/2020 14:16
26,Easy Piano + Bag,1378755655,Easy Piano + Bag,0,,bot,28/5/2020 14:16
27,Pastel-K-161,3103639149,Pastel-K-161,0,,bot,28/5/2020 14:16
28,Tyma-D10-NA,7335404219,Tyma-D10-NA,0,,bot,28/5/2020 14:16
29,MI-01,2074943650,MI-01,0,,bot,28/5/2020 14:16
30,Paramount-DS41-1DVS,2076213716,Paramount-DS41-1DVS,0,,bot,28/5/2020 14:16
31,Paramount-SOG-60C,2076040211,Paramount-SOG-60C,0,,bot,28/5/2020 14:16
32,Paramount-F650CEQN-S1,2128413746,Paramount-F650CEQN-S1,0,,bot,28/5/2020 14:16
33,Paramount-ESTBKM,2154928349,Paramount-ESTBKM,0,,bot,28/5/2020 14:16
34,Paramount-EST-BKM-S1,2873096683,Paramount-EST-BKM-S1,0,,bot,28/5/2020 14:16
35,Paramount-F650CEQN,2155744952,Paramount-F650CEQN,0,,bot,28/5/2020 14:16
36,Paramount-F650-CEQN,5901223455,Paramount-F650-CEQN,0,,bot,28/5/2020 14:16
37,Paramount-ELCBKM,2147089045,Paramount-ELCBKM,0,,bot,28/5/2020 14:16
38,Paramount-ESGBKM,2155059513,Paramount-ESGBKM,0,,bot,28/5/2020 14:16
39,Paramount-C551BCEQN,2155934541,Paramount-C551BCEQN,0,,bot,28/5/2020 14:16
40,Paramount-CL39,2873990901,Paramount-CL39,0,,bot,28/5/2020 14:16
41,Paramount-F550BCEQN-S1,2880830648,Paramount-F550BCEQN-S1,0,,bot,28/5/2020 14:16
42,Paramount-F550B-CEQN,2891793,Paramount-F550B-CEQN,0,,bot,28/5/2020 14:16
43,Paramount-C551BCEQN-BC01,2155797540,Paramount-C551BCEQN-BC01,0,,bot,28/5/2020 14:16
44,Paramount-AB84CEN,2839187640,Paramount-AB84CEN,0,,bot,28/5/2020 14:16
45,Paramount-AB80CEN-FMD49,2075459391,Paramount-AB80CEN-FMD49,0,,bot,28/5/2020 14:16
46,Paramount-AB80CEN,2181318179,Paramount-AB80CEN,0,,bot,28/5/2020 14:16
47,Paramount-F601CSB-S1,2147686472,Paramount-F601CSB-S1,0,,bot,28/5/2020 14:16
48,Paramount-F601CSB,2150169822,Paramount-F601CSB,0,,bot,28/5/2020 14:16
49,Paramount-F601CN-FAT200D,4201079408,Paramount-F601CN-FAT200D,0,,bot,28/5/2020 14:16
50,Paramount-F601CSB-FBA01,3601174492,Paramount-F601CSB-FBA01,0,,bot,28/5/2020 14:16
51,Nux-WK-400-S1,5314344224,Nux-WK-400-S1,0,,bot,28/5/2020 14:16
52,Nux-WK-400,6914344788,Nux-WK-400,0,,bot,28/5/2020 14:16
53,Paramount-F601CN-S1,2155854451,Paramount-F601CN-S1,0,,bot,28/5/2020 14:16
54,Paramount-F601CN-FAT101,7001202684,Paramount-F601CN-FAT101,0,,bot,28/5/2020 14:16
55,Paramount-F601CN-with-BA01,1904098451,Paramount-F601CN-with-BA01,0,,bot,28/5/2020 14:16
56,Paramount-F601CN,2891825,Paramount-F601CN,0,,bot,28/5/2020 14:16
57,Paramount-F601SB-S3,2826643801,Paramount-F601SB-S3,0,,bot,28/5/2020 14:16
58,Paramount-F601N-S3,2826654373,Paramount-F601N-S3,0,,bot,28/5/2020 14:16
59,Paramount-F601N-FAT101,7135369531,Paramount-F601N-FAT101,0,,bot,28/5/2020 14:16
60,Paramount-F601N-FBA01,2150160391,Paramount-F601N-FBA01,0,,bot,28/5/2020 14:16
61,Paramount-F601N,115542741,Paramount-F601N,0,,bot,28/5/2020 14:16
62,Paramount-F601N-S2,2166123843,Paramount-F601N-S2,0,,bot,28/5/2020 14:16
63,Daddario-Headstand-PW-HDS,1402573684,Daddario-Headstand-PW-HDS,0,,bot,28/5/2020 14:16
64,Paramount-PE200WH-S3,3217932592,Paramount-PE200WH-S3,0,,bot,28/5/2020 14:16
65,Paramount-PE200WH-S1,7617768805,Paramount-PE200WH-S1,0,,bot,28/5/2020 14:16
66,Line6-Helix-LT,2835160663,Line6-Helix-LT,0,,bot,28/5/2020 14:16
67,Carlsbro-DF1521-REVB,2834385445,Carlsbro-DF1521-REVB,0,,bot,28/5/2020 14:16
68,Paramount-PE200WH,3717863771,Paramount-PE200WH,0,,bot,28/5/2020 14:16
69,Elixir-Polyweb-Acoustic-Custom-Light,919832926,Elixir-Polyweb-Acoustic-Custom-Light,0,,bot,28/5/2020 14:16
70,Paramount-AB90N,2138032954,Paramount-AB90N,0,,bot,28/5/2020 14:16
71,Daddario-XTE0942,3820450031,Daddario-XTE0942,0,,bot,28/5/2020 14:16
72,Nux-PA-50,2894609240,Nux-PA-50,0,,bot,28/5/2020 14:16
73,Martin-MA535T,4000445665,Martin-MA535T,0,,bot,28/5/2020 14:16
74,Boss-WL-20,2816760488,Boss-WL-20,0,,bot,28/5/2020 14:16
75,MK-829,899012806,MK-829,0,,bot,28/5/2020 14:16
76,Daddario-PW-AGLRA-20,2899439492,Daddario-PW-AGLRA-20,0,,bot,28/5/2020 14:16
