2020-07-13T05:03:45+00:00 has web product json: {"sku":"Yamaha FG820-1"}
2020-07-13T08:39:05+00:00 file: testwordpress.php, user: 
2020-07-13T08:39:05+00:00 post json: 
2020-07-13T08:39:05+00:00 set auto commit to off
2020-07-13T08:39:51+00:00 file: testwordpress.php, user: 
2020-07-13T08:39:51+00:00 post json: 
2020-07-13T08:39:51+00:00 set auto commit to off
2020-07-13T08:39:51+00:00 query sql: select * from CategoryMappingWeb, modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7820' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7820' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5861' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5861' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '5861' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11146' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11146' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11146' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11146' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11191' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11191' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11191' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7167' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7167' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7167' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7167' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7176' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7176' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7176' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '7176' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11195' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11195' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11195' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11184' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11184' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11184' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11186' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11186' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:51+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11186' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11182' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11182' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11182' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11174' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11174' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11174' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11174' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11172' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11172' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11168' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11168' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11168' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11107' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11107' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11118' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11129' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11129' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11178' and WebCategoryName = 'Array', modified user: 
2020-07-13T08:39:52+00:00 query: selected row count = 0, sql: select * from categoryMappingWeb where postID = '11178' and WebCategoryName = 'Array', modified user: 
